date,price,fast_ma,slow_ma,signal
2025-10-31,108240.76528725718,110735.20058327883,114175.79134169892,0
2025-11-01,109573.90555629117,110671.24002915146,114057.20612018614,0
2025-11-02,110014.13556776088,110412.4682343532,113934.28596262244,0
2025-11-03,110650.2092823146,110183.86454741067,113827.87845058014,0
2025-11-04,106521.0867382576,109852.09041241009,113650.82907416791,0
2025-11-05,101635.2740227234,109398.42063310657,113375.58950007688,0
2025-11-06,103877.9596595516,109188.48218506754,113117.89169953954,0
2025-11-07,101322.6402945857,108932.43360230452,112815.22557578617,0
2025-11-08,103396.084215925,108744.43764427691,112540.23735831428,0
2025-11-09,102290.13714655169,108427.8877587331,112272.92389195705,0
2025-11-10,104709.67861656273,108132.94311489789,112052.80715693194,0
2025-11-11,105909.07272321742,108004.09161970046,111864.89901151489,0
2025-11-12,102960.77564500563,107771.2090683737,111670.17970407262,0
2025-11-13,101521.70859453591,107344.86858445469,111460.1705583911,0
2025-11-14,99730.4533956204,106781.50103567087,111188.36824459532,0
2025-11-15,94456.39368235336,105923.30525113177,110898.22551552326,0
2025-11-16,95508.31019889197,104974.92014732207,110614.18754456755,0
2025-11-17,94411.32947182968,103986.34689951017,110309.317929789,0
2025-11-18,92036.7255045672,102940.66574310881,109907.2009673298,0
2025-11-19,92819.759215009,102079.32024094061,109477.41314340608,0
2025-11-20,91363.27838693369,101235.44589592444,109024.19415443475,0
2025-11-21,86649.97257918229,100089.24924706899,108387.12871566789,0
2025-11-22,85051.8019295002,98841.13256515596,107675.93037193968,0
2025-11-23,84682.62429147748,97542.7533156141,106924.57982040069,0
2025-11-24,86783.84766839583,96555.89136212101,106212.63803207595,0
2025-11-25,88229.35740719768,95885.59553134473,105507.10147621436,0
2025-11-26,87310.33159950442,95057.21412834237,104757.83794358958,0
2025-11-27,90474.22677969698,94514.79345259794,104136.94736046849,0
2025-11-28,91279.06057176425,93908.94227038989,103495.47847439913,0
2025-11-29,90950.37695910994,93341.9542610178,102880.52540022567,0
