date,price,fast_ma,slow_ma,signal,asset_return,position,gross_strategy_return,trade_flag,transaction_cost,net_strategy_return,equity_asset,equity_strategy_gross,equity_strategy_net
2025-10-31,108240.76528725718,110735.20058327883,114175.79134169892,0,-0.01641034647650874,0.0,-0.0,0,0.0,-0.0,1.1483656477262885,1.1521607116951065,1.1453352237002261
2025-11-01,109573.90555629117,110671.24002915146,114057.20612018614,0,0.01231643425188289,0.0,0.0,0,0.0,0.0,1.1625094177236301,1.1521607116951065,1.1453352237002261
2025-11-02,110014.13556776088,110412.4682343532,113934.28596262244,0,0.004017653740046256,0.0,0.0,0,0.0,0.0,1.1671799780335865,1.1521607116951065,1.1453352237002261
2025-11-03,110650.2092823146,110183.86454741067,113827.87845058014,0,0.005781745330007526,0.0,0.0,0,0.0,0.0,1.1739283154208604,1.1521607116951065,1.1453352237002261
2025-11-04,106521.0867382576,109852.09041241009,113650.82907416791,0,-0.03731689773420932,0.0,-0.0,0,0.0,-0.0,1.1301209525270075,1.1521607116951065,1.1453352237002261
2025-11-05,101635.2740227234,109398.42063310657,113375.58950007688,0,-0.04586709416079804,0.0,-0.0,0,0.0,-0.0,1.0782855883843605,1.1521607116951065,1.1453352237002261
2025-11-06,103877.9596595516,109188.48218506754,113117.89169953954,0,0.022066016532082955,0.0,0.0,0,0.0,0.0,1.1020790560039566,1.1521607116951065,1.1453352237002261
2025-11-07,101322.6402945857,108932.43360230452,112815.22557578617,0,-0.024599244857529734,0.0,-0.0,0,0.0,-0.0,1.07496874345296,1.1521607116951065,1.1453352237002261
2025-11-08,103396.084215925,108744.43764427691,112540.23735831428,0,0.020463777052305065,0.0,0.0,0,0.0,0.0,1.0969666641571778,1.1521607116951065,1.1453352237002261
2025-11-09,102290.13714655169,108427.8877587331,112272.92389195705,0,-0.010696218118509515,0.0,-0.0,0,0.0,-0.0,1.0852332694486189,1.1521607116951065,1.1453352237002261
2025-11-10,104709.67861656273,108132.94311489789,112052.80715693194,0,0.023653712249349645,0.0,0.0,0,0.0,0.0,1.1109030649275775,1.1521607116951065,1.1453352237002261
2025-11-11,105909.07272321742,108004.09161970046,111864.89901151489,0,0.01145447223696272,0.0,0.0,0,0.0,0.0,1.1236278732427472,1.1521607116951065,1.1453352237002261
2025-11-12,102960.77564500563,107771.2090683737,111670.17970407262,0,-0.027838002943495366,0.0,-0.0,0,0.0,-0.0,1.0923483172000221,1.1521607116951065,1.1453352237002261
2025-11-13,101521.70859453591,107344.86858445469,111460.1705583911,0,-0.013976847410623883,0.0,-0.0,0,0.0,-0.0,1.0770807314512656,1.1521607116951065,1.1453352237002261
2025-11-14,99730.4533956204,106781.50103567087,111188.36824459532,0,-0.017644060799543393,0.0,-0.0,0,0.0,-0.0,1.0580766535395227,1.1521607116951065,1.1453352237002261
2025-11-15,94456.39368235336,105923.30525113177,110898.22551552326,0,-0.052883141845805004,0.0,-0.0,0,0.0,-0.0,1.0021222357866575,1.1521607116951065,1.1453352237002261
2025-11-16,95508.31019889197,104974.92014732207,110614.18754456755,0,0.011136530578079062,0.0,0.0,0,0.0,0.0,1.0132824007084686,1.1521607116951065,1.1453352237002261
2025-11-17,94411.32947182968,103986.34689951017,110309.317929789,0,-0.01148570972282803,0.0,-0.0,0,0.0,-0.0,1.0016441331866808,1.1521607116951065,1.1453352237002261
2025-11-18,92036.7255045672,102940.66574310881,109907.2009673298,0,-0.02515168444875049,0.0,-0.0,0,0.0,-0.0,0.9764510960188272,1.1521607116951065,1.1453352237002261
2025-11-19,92819.759215009,102079.32024094061,109477.41314340608,0,0.008507839736246803,0.0,0.0,0,0.0,0.0,0.9847585854540379,1.1521607116951065,1.1453352237002261
2025-11-20,91363.27838693369,101235.44589592444,109024.19415443475,0,-0.015691495435810277,0.0,-0.0,0,0.0,-0.0,0.969306250605011,1.1521607116951065,1.1453352237002261
2025-11-21,86649.97257918229,100089.24924706899,108387.12871566789,0,-0.05158862390850316,0.0,-0.0,0,0.0,-0.0,0.9193010749903877,1.1521607116951065,1.1453352237002261
2025-11-22,85051.8019295002,98841.13256515596,107675.93037193968,0,-0.018443983328692348,0.0,-0.0,0,0.0,-0.0,0.9023455012892161,1.1521607116951065,1.1453352237002261
2025-11-23,84682.62429147748,97542.7533156141,106924.57982040069,0,-0.004340621005640033,0.0,-0.0,0,0.0,-0.0,0.8984287614519754,1.1521607116951065,1.1453352237002261
2025-11-24,86783.84766839583,96555.89136212101,106212.63803207595,0,0.024812922302525076,0.0,0.0,0,0.0,0.0,0.9207214045042371,1.1521607116951065,1.1453352237002261
2025-11-25,88229.35740719768,95885.59553134473,105507.10147621436,0,0.016656437547286407,0.0,0.0,0,0.0,0.0,0.9360573430768118,1.1521607116951065,1.1453352237002261
2025-11-26,87310.33159950442,95057.21412834237,104757.83794358958,0,-0.010416326659297148,0.0,-0.0,0,0.0,-0.0,0.9263070640194899,1.1521607116951065,1.1453352237002261
2025-11-27,90474.22677969698,94514.79345259794,104136.94736046849,0,0.03623735155085028,0.0,0.0,0,0.0,0.0,0.9598739787424002,1.1521607116951065,1.1453352237002261
